file_name,angle_nge2,angle_nge1,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10
DU91-W2-250_222,67.3211,67.3179,67.3559,67.4143,68.0814,68.8999,69.7653,70.6118,71.3094,71.6398,71.9462,72.2297,75.2929
DU91-W2-250_223,67.8406,67.8216,67.8832,67.9218,68.6102,69.4128,70.2552,71.0776,71.7793,71.9994,72.2546,72.2719,72.5485
DU91-W2-250_224,68.3301,68.3184,68.3524,68.4313,69.171,70.0072,70.879,71.7384,72.4702,72.7097,72.9098,72.6039,71.8362
DU91-W2-250_225,68.0682,68.0576,68.0279,68.0947,68.7347,69.4856,70.3726,71.2153,71.9012,72.037,72.234,72.0295,71.2733
DU91-W2-250_226,68.1844,68.1951,68.286,68.4437,69.2171,70.1178,71.1157,72.0952,72.8965,73.2494,73.492,73.2672,72.739
DU91-W2-250_227,68.0744,68.0872,68.1887,68.2895,69.0449,69.905,70.9027,71.7985,72.5416,72.8658,73.1011,72.9883,72.379
DU91-W2-250_228,67.7238,67.6443,67.6343,67.6834,68.3382,69.1053,69.9607,70.777,71.4822,71.6648,71.8776,71.667,70.9146
DU91-W2-250_229,67.6105,67.6252,67.672,67.7135,68.4088,69.2589,70.1743,71.0009,71.7048,71.9431,72.2086,72.0676,71.4948
DU91-W2-250_230,67.6775,67.6965,67.7358,67.8022,68.5242,69.377,70.2579,71.1115,71.8372,72.0998,72.3066,72.1598,71.4254
DU91-W2-250_231,67.4018,67.4122,67.4833,67.5325,68.226,69.0701,70.0472,70.872,71.5851,71.9327,72.2071,72.2273,74.1026
DU91-W2-250_232,67.9346,67.9251,67.9938,68.0892,68.7267,69.5266,70.4552,71.3417,72.0106,72.3108,72.5606,72.6843,73.2621
DU91-W2-250_233,67.3494,67.3139,67.358,67.3968,68.0225,68.7635,69.606,70.4113,71.0888,71.2767,71.5558,71.3547,70.8267
DU91-W2-250_234,68.2054,68.2217,68.3125,68.3775,69.0851,69.9423,70.936,71.7869,72.5195,72.7986,73.0314,72.934,72.2158
DU91-W2-250_235,68.4263,68.398,68.4188,68.4355,69.1017,69.9151,70.7703,71.63,72.3349,72.4664,72.685,72.4185,71.6412
DU91-W2-250_236,67.6895,67.6953,67.7737,67.8293,68.4803,69.2798,70.223,71.0867,71.7708,72.0677,72.3237,72.3782,72.6689
